X,Z (potential confounder),coef_before,coef_after,change_%
channel_video_count,channel_subscriber_count,0.00015120886216726234,-0.00039960315753542926,-361.87907317604424
hour,channel_subscriber_count,-0.005141064502312782,0.011957920411682773,332.53151348655445
channel_video_count,channel_view_count,0.00015120886216726234,-0.00028843041526816984,-288.8394743745686
hour,channel_view_count,-0.005141064502312782,0.009278715933947653,280.42784040874534
hour,tags_count,-0.005141064502312782,-0.014268612059723377,-177.50744964994573
hour,channel_video_count,-0.005141064502312782,0.0029695970352111504,157.73161798876586
hour,duration_sec,-0.005141064502312782,-0.01138373056078071,-121.40388467822835
duration_sec,tags_count,9.025561231246317e-05,2.5550714014123997e-05,-70.90511658262376
channel_subscriber_count,channel_view_count,4.193628620491874e-07,1.1522136608176409e-06,51.63237804534418
duration_sec,channel_view_count,9.025561231246317e-05,0.00010724979659046559,18.62261821203238
duration_sec,channel_subscriber_count,9.025561231246317e-05,0.0001071205917804145,18.48103260784105
channel_subscriber_count,channel_video_count,4.193628620491874e-07,6.549121562056877e-07,16.59542464119633
day_of_week,channel_view_count,-0.053521561911780445,-0.0464304588036562,13.248811071137231
day_of_week,channel_subscriber_count,-0.053521561911780445,-0.04804866813993902,10.225395751537869
channel_video_count,tags_count,0.00015120886216726234,0.00016447425868990095,8.715258976222593
tags_count,channel_subscriber_count,0.06728408694523484,0.06199515612278251,-7.860480029931651
duration_sec,channel_video_count,9.025561231246317e-05,9.714744414257697e-05,7.552227918339836
duration_sec,hour,9.025561231246317e-05,9.6761478670073e-05,7.129278071504756
hour,day_of_week,-0.005141064502312782,-0.005447465933232314,-5.958723986867902
channel_video_count,duration_sec,0.00015120886216726234,0.00015617538130838744,3.262963187825024
day_of_week,channel_video_count,-0.053521561911780445,-0.052385194496328585,2.1231558708361127
channel_subscriber_count,tags_count,4.193628620491874e-07,3.9709842164572786e-07,-1.5686221613066247
day_of_week,duration_sec,-0.053521561911780445,-0.0527712897833189,1.4017866515773165
tags_count,channel_video_count,0.06728408694523484,0.06811664241766056,1.2373551261119151
tags_count,channel_view_count,0.06728408694523484,0.06646868210606297,-1.211865624600525
tags_count,duration_sec,0.06728408694523484,0.06653586355858827,-1.1120196474674506
channel_video_count,hour,0.00015120886216726234,0.00015282622505709398,1.0625944289986982
day_of_week,tags_count,-0.053521561911780445,-0.05299799749115148,0.9782125554676196
tags_count,hour,0.06728408694523484,0.0677965095722902,0.7615693912566972
duration_sec,day_of_week,9.025561231246317e-05,8.97299084233509e-05,-0.5760784194973487
day_of_week,hour,-0.053521561911780445,-0.053752437587228724,-0.4313614057354433
channel_video_count,day_of_week,0.00015120886216726234,0.0001506635065487017,-0.35829426144802146
channel_subscriber_count,hour,4.193628620491874e-07,4.228408903252951e-07,0.2450415160987348
channel_subscriber_count,duration_sec,4.193628620491874e-07,4.228320042736373e-07,0.24441545690728855
channel_view_count,channel_subscriber_count,3.793738161142727e-10,-9.280672282638648e-10,-0.13069452235812154
channel_subscriber_count,day_of_week,4.193628620491874e-07,4.187553833724458e-07,-0.04279939210643801
tags_count,day_of_week,0.06728408694523484,0.06726928831489899,-0.021993923182256403
channel_view_count,channel_video_count,3.793738161142727e-10,5.942738287769018e-10,0.021481851614238812
channel_view_count,tags_count,3.793738161142727e-10,3.737550553798406e-10,-0.000561662993210105
channel_view_count,duration_sec,3.793738161142727e-10,3.8489884227357637e-10,0.0005522930903930496
channel_view_count,hour,3.793738161142727e-10,3.8298460646332215e-10,0.00036094210292196224
channel_view_count,day_of_week,3.793738161142727e-10,3.7816354364598654e-10,-0.0001209813496723129
